patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.12,Lissandra,MIDDLE,25,48.0,3.09,7.9,21329.0,5.6,5.8,7.7,3.5
16.12,Draven,BOTTOM,24,50.0,3.55,8.4,21061.0,6.7,4.9,5.7,3.3
16.12,Anivia,TOP,24,45.8,4.01,7.4,20020.0,4.1,4.4,6.1,3.3
16.12,Karthus,BOTTOM,24,41.7,2.3,7.9,29819.0,6.4,8.0,7.6,3.3
16.12,Yuumi,UTILITY,24,41.7,6.28,0.6,6461.0,1.3,4.3,13.6,3.3
16.12,Diana,JUNGLE,23,34.8,3.98,7.9,20747.0,8.3,4.6,5.7,3.2
16.12,Velkoz,BOTTOM,23,65.2,4.35,7.5,29538.0,8.2,6.0,9.4,3.2
16.12,Pantheon,UTILITY,23,34.8,2.15,1.2,19590.0,6.1,9.1,12.1,3.2
16.12,Anivia,UTILITY,22,63.6,3.5,1.6,16363.0,3.3,6.7,15.0,3.1
16.12,Teemo,TOP,22,68.2,3.26,7.9,26380.0,5.8,4.5,5.7,3.1
16.12,Ornn,TOP,22,45.5,3.12,6.4,16153.0,2.4,4.6,8.2,3.1
16.12,Camille,TOP,22,36.4,2.3,6.7,20704.0,4.4,5.8,5.0,3.1
16.12,Shyvana,JUNGLE,21,47.6,2.7,7.7,21161.0,6.9,6.0,6.9,2.9
16.12,Shaco,JUNGLE,21,28.6,3.09,6.9,22005.0,9.0,6.5,6.6,2.9
16.12,Mel,BOTTOM,21,38.1,2.86,8.2,22404.0,7.9,6.3,4.7,2.9
16.12,Ziggs,BOTTOM,21,42.9,4.32,8.2,30644.0,6.6,5.0,8.0,2.9
16.12,Annie,MIDDLE,21,47.6,5.03,7.4,20936.0,6.5,4.7,7.7,2.9
16.12,Poppy,UTILITY,21,52.4,3.68,1.0,13626.0,3.5,7.1,13.2,2.9
16.12,Taliyah,MIDDLE,21,38.1,2.71,7.4,24958.0,6.0,6.7,9.7,2.9
16.12,Twitch,BOTTOM,21,42.9,3.76,7.0,25929.0,10.6,7.3,6.3,2.9
16.12,MissFortune,BOTTOM,21,47.6,3.32,8.0,22370.0,6.1,6.2,6.4,2.9
16.12,Gnar,TOP,20,40.0,2.73,8.1,22281.0,5.1,5.4,5.0,2.8
16.12,Aurora,TOP,20,55.0,3.94,7.1,22645.0,5.4,4.3,5.7,2.8
16.12,Anivia,MIDDLE,20,45.0,3.85,7.6,24062.0,5.1,4.3,6.7,2.8
16.12,Ambessa,JUNGLE,19,42.1,3.66,7.3,23111.0,7.6,4.6,7.1,2.6
16.12,Yorick,TOP,19,52.6,2.35,8.0,23065.0,4.4,5.8,5.2,2.6
16.12,Fizz,MIDDLE,19,52.6,2.98,7.2,17741.0,6.4,4.7,4.8,2.6
16.12,Ryze,TOP,19,42.1,2.78,8.9,28515.0,5.2,6.2,5.2,2.6
16.12,Azir,MIDDLE,19,31.6,1.95,8.5,21821.0,5.2,6.7,4.6,2.6
16.12,Belveth,JUNGLE,19,57.9,6.79,7.4,17234.0,8.9,3.7,6.9,2.6
16.12,Nidalee,JUNGLE,19,42.1,4.17,7.0,20857.0,7.2,5.2,8.1,2.6
16.12,Quinn,MIDDLE,19,52.6,4.02,7.3,29175.0,11.4,7.7,6.6,2.6
16.12,Neeko,UTILITY,18,55.6,3.92,1.3,12604.0,2.6,5.0,10.7,2.5
16.12,Xayah,BOTTOM,18,61.1,5.2,9.0,28813.0,9.6,5.3,8.0,2.5
16.12,Gwen,TOP,18,22.2,1.51,7.9,22294.0,4.4,6.6,3.1,2.5
16.12,Gwen,JUNGLE,18,33.3,3.2,7.4,23471.0,7.0,5.2,5.2,2.5
16.12,Nasus,TOP,17,76.5,3.19,7.2,10619.0,3.6,4.5,3.5,2.4
16.12,Sylas,UTILITY,17,47.1,2.59,1.1,17576.0,5.9,7.5,10.6,2.4
16.12,Qiyana,JUNGLE,17,35.3,2.52,7.4,20014.0,6.9,5.7,5.8,2.4
16.12,Pantheon,TOP,17,29.4,1.69,6.6,21481.0,5.2,7.1,5.4,2.4
16.12,Talon,MIDDLE,16,68.8,3.15,7.5,25299.0,9.0,6.9,5.7,2.2
16.12,Varus,TOP,16,56.3,2.27,7.3,22846.0,6.4,7.5,5.8,2.2
16.12,KogMaw,BOTTOM,16,56.3,2.09,7.9,23537.0,6.1,7.0,5.6,2.2
16.12,Diana,MIDDLE,16,31.3,2.19,6.8,19667.0,6.1,6.9,4.3,2.2
16.12,Xerath,UTILITY,16,37.5,3.78,1.9,19996.0,3.3,6.9,11.3,2.2
16.12,Vladimir,TOP,16,68.8,2.71,8.1,25830.0,4.6,5.4,6.3,2.2
16.12,Xerath,BOTTOM,15,33.3,4.56,7.8,30621.0,7.9,5.0,7.5,2.1
16.12,Morgana,UTILITY,15,46.7,3.78,1.3,12198.0,2.1,6.6,16.0,2.1
16.12,Naafiri,MIDDLE,15,26.7,1.69,7.4,15944.0,4.1,5.7,3.5,2.1
